Question,Answer
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The M.Tech program in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna has a comprehensive first-semester curriculum including core courses like Computer Aided Power System Analysis (EE 571) and Basics of Power Electronics Converters (EE 573), along with three electives, a laboratory course, and Technical Communications (HSS 513)[2]. </CONTEXT> 
 <QUESTION> Excluding the core courses and the Technical Communications course, what is the total number of courses in first-semester? </QUESTION>","There is three electives and one laboratory course, so the total would be 4."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Eligibility for the MTech program in Mechanical Engineering at IIT Patna requires a BTech/BE degree in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI). </CONTEXT> 
 <QUESTION> Can a student with a BE in Aeronautical Engineering and a GATE score in Aerospace Engineering apply to the MTech program? </QUESTION>","Yes, the student fulfills both requirements and is therefore eligible."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has a dedicated “Center for Energy and Environment” that focuses on research and teaching in renewable energy technologies, sustainable urban planning, and climate change mitigation strategies. </CONTEXT> 
 <QUESTION> How might the ""Center for Energy and Environment"" contribute to addressing climate change? </QUESTION>","The center could contribute to addressing climate change by researching and teaching about renewable energy adoption, sustainable urban planning to reduce emissions from transportation and buildings, and developing and promoting climate change mitigation strategies to reduce greenhouse gas emissions."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute conducts summer internship programs where students work on real-world projects under the guidance of faculty members or industry experts. Internships are mandatory for most undergraduate programs and are evaluated based on reports submitted by students. </CONTEXT> 
 <QUESTION> Besides the practical experience, what is another potential benefit of participating in summer internships at this institute? </QUESTION>","While the context doesn't explicitly state other benefits, the implied benefit is enhanced skills development applicable in a professional environment."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute encourages undergraduate research through initiatives like the Undergraduate Research Award (URA), which allows students to work on innovative projects under faculty supervision. These projects often lead to publications in reputed journals or presentations at international conferences. </CONTEXT> 
 <QUESTION> What is the significance of publishing in reputable journals in relation to the URA program? </QUESTION>","Publication in reputable journals signifies the quality and impact of the research conducted by the students, enhancing their academic profile and contribution to their field."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The automata and languages section of CS511 at IIT Patna includes finite automata, regular expressions, pushdown automata, context-free grammars, pumping lemmas, closure properties of regular and context-free languages, and non-context-free languages, providing a strong theoretical foundation for computer science students. </CONTEXT> 
 <QUESTION> What specific properties of the formal languages taught in the automata and languages section are addressed? </QUESTION>",Closure properties of regular and context-free languages are discussed.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Department of Physics at IIT Patna offers a comprehensive Ph.D. program with coursework including Advanced Quantum Mechanics, Condensed Matter Physics, Statistical Mechanics, and specialized electives like Nonlinear Dynamics, Nanoscience, and Quantum Field Theory. </CONTEXT> 
 <QUESTION> Can students specializing in quantum field theory pursue their research interests at IIT Patna's Physics department? </QUESTION>","Yes, Quantum Field Theory is offered as a specialized elective, enabling students to pursue research in that area."
What technological theme addresses improvements to educational processes?,Education technology advancements are a key theme.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna offers a diverse range of undergraduate programs, including B.Tech degrees in disciplines such as Computer Science and Engineering, Mathematics and Computing, Artificial Intelligence and Data Science, Electrical and Electronics Engineering, Mechanical Engineering, Civil and Environmental Engineering, Chemical Engineering, Metallurgical and Materials Engineering, Engineering Physics, Electronics and Communication Engineering, and Chemical Science and Technology. These programs are structured over eight semesters spanning four academic years. </CONTEXT> 
 <QUESTION> What is the primary subject area focus of IIT Patna, as indicated by the information provided? </QUESTION>","The primary subject area focus of IIT Patna, based on the context, is engineering, with a diverse range of B.Tech programs offered in various engineering disciplines."
What is the overarching goal of the collaboration fostered by the Research Park?,The overarching goal of the collaboration is to ensure innovation thrives.
What is the name of the fest during which NJACK's coding competitions take place?,NJACK's coding competitions take place during the Apeireon fest.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students. </CONTEXT> 
 <QUESTION> Which club at IIT Patna is specifically dedicated to Computer Science? </QUESTION>",NJACK is the Computer Science club at IIT Patna.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute encourages participation in national-level technical competitions such as Smart India Hackathon (SIH), Robocon India, and Baja SAE India. Students receive mentorship from faculty members to prepare for these prestigious contests. </CONTEXT> 
 <QUESTION> Are there any specific technical skills mentioned as being developed within the context of these competitions? </QUESTION>","No specific technical skills are explicitly mentioned within the provided context. However, the implication is that these competitions require and develop technical skills relevant to the fields of engineering and technology."
What specific areas are covered in the curriculum offered by the Department of Civil and Environmental Engineering at IIT Patna?,"The curriculum covers Geomatics Engineering, Structural Mechanics, Fluid Mechanics, Structural Analysis, Soil Mechanics, Civil Engineering Materials, and Infrastructure Drawing and Estimation."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s academic structure is designed to promote interdisciplinary learning. Students are encouraged to take elective courses outside their core departments, such as courses in humanities, management, or emerging technologies like blockchain, quantum computing, and sustainable engineering. This ensures a well-rounded education and broadens their intellectual horizons. </CONTEXT> 
 <QUESTION> What is a primary goal of IIT Patna's academic structure regarding student learning? </QUESTION>",The primary goal is to promote interdisciplinary learning among its students.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The academic curriculum at IIT Patna includes mandatory courses on environmental science and ethics to instill a sense of social responsibility among students. These courses emphasize sustainable development and ethical practices in engineering. </CONTEXT> 
 <QUESTION> In summary, what are the two core objectives of the mandatory courses discussed within the IIT Patna curriculum? </QUESTION>","The core objectives are to foster social responsibility and promote sustainable development and ethical practices, specifically within the field of engineering."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Semester Performance Index (SPI) and Cumulative Performance Index (CPI) are used to measure students' academic performance at IIT Patna. SPI is calculated for each semester while CPI provides a cumulative evaluation across all semesters. </CONTEXT> 
 <QUESTION> Does the SPI give any kind of cumulative overview, or is it completely semester-specific at IIT Patna? </QUESTION>",The SPI is completely semester-specific; it does not provide a cumulative overview or incorporate any prior semester results at IIT Patna.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The academic curriculum at IIT Patna integrates industry internships as part of the credit requirements for undergraduate programs. Students are evaluated based on their performance during internships through presentations or reports submitted at the end of the term. </CONTEXT> 
 <QUESTION> When are students evaluated for their industry internship performance? </QUESTION>",Students are evaluated at the end of the internship term.
Are there any specific technical skills mentioned as being developed within the context of these competitions?,"No specific technical skills are explicitly mentioned within the provided context. However, the implication is that these competitions require and develop technical skills relevant to the fields of engineering and technology."
What traditional sport is played at Infinito?,Traditional kabaddi matches are played at Infinito.
"What specific type of academic degree does the institute offer, and in what areas of specialization?",The institute offers specialized M.Tech programs in niche areas.
What specific types of professionals guide the students during their summer internship programs?,"Students are guided by either faculty members of the institute or industry experts, or a combination of both."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna offers preparatory courses for incoming students to strengthen foundational skills such as English language proficiency before beginning their core academic journey. </CONTEXT> 
 <QUESTION> What is the overall implication of offering preparatory courses before the main program starts? </QUESTION>","The implication is that IIT Patna recognizes the varying skill levels of incoming students and proactively seeks to level the playing field, ensuring a smoother transition into the rigorous academic program."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The marking scheme at IIT Patna includes provisions for re-evaluation of answer scripts if a student feels their performance has been unfairly assessed. Students must submit a formal request along with a nominal fee to initiate the re-evaluation process. </CONTEXT> 
 <QUESTION> Is there a deadline mentioned in the provided context by which the re-evaluation request must be submitted? </QUESTION>",The provided context does not explicitly mention a deadline for submitting the re-evaluation request.
What type of performances are showcased during Reverberance?,Reverberance features classical dance performances.
Is the program at IIT Patna's Physics Department suitable for students specializing in nanoscience?,"Yes, the Department of Physics at IIT Patna offers Nanoscience as one of the specialized elective courses, making it suitable for students interested in this area."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute offers a unique Honors program for high-performing students. Honors courses include advanced topics in their respective disciplines, such as quantum computing in Computer Science or advanced thermodynamics in Mechanical Engineering. Students must meet specific CGPA criteria to enroll in these courses. </CONTEXT> 
 <QUESTION> What is the core difference between regular courses and the Honors courses offered in the program? </QUESTION>","Honors courses delve into advanced topics within the students' respective disciplines, going beyond the scope of standard courses."
What types of events are organized by students during these cultural celebrations on the IIT Patna campus?,"Students organize events such as cultural performances, traditional games, and festive feasts during the cultural celebrations."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a well-structured academic calendar that includes mid-semester breaks, examination periods, and designated time for extracurricular activities. This balanced schedule ensures students have time to focus on academics while also engaging in personal development and recreation. </CONTEXT> 
 <QUESTION> Does the academic calendar schedule specific periods for assessments at IIT Patna? </QUESTION>","Yes, the academic calendar explicitly includes designated examination periods."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has introduced online learning platforms where students can access recorded lectures, course materials, assignments, and quizzes at their convenience. This blended learning approach enhances flexibility while maintaining academic rigor. </CONTEXT> 
 <QUESTION> Beyond flexibility, what other key characteristic does the institute strive to maintain with its online learning platforms? </QUESTION>",The institute aims to maintain academic rigor.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a dedicated Artificial Intelligence and Machine Learning lab equipped with high-performance GPUs and cloud computing access. Students work on projects like natural language processing (NLP), computer vision applications, and predictive analytics for real-world problems. </CONTEXT> 
 <QUESTION> What are some examples of areas of study within the AI and ML lab at IIT Patna? </QUESTION>","Students work on projects like natural language processing (NLP), computer vision applications, and predictive analytics."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Eligibility for the MTech program in Mechanical Engineering at IIT Patna requires a BTech/BE degree in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI). </CONTEXT> 
 <QUESTION> Is a GATE score required for applying to the MTech program, and if so, why? </QUESTION>","Yes, a valid GATE score is required. The context specifies it as a mandatory requirement for eligibility."
Name at least three specialized research labs within IIT Patna's CSE department.,"Three specialized research labs within IIT Patna's CSE department are AI+ML+NLP Lab, Blockchain Lab, and IoT Lab."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has initiated innovative interdisciplinary courses like B.Sc (Hons) in Computer Science & Data Analytics or BBA programs tailored to meet industry demands. </CONTEXT> 
 <QUESTION> Besides the B.Sc (Hons) program mentioned, what other type of program has the institute introduced? </QUESTION>",The institute has also introduced BBA programs.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute organizes regular workshops and short-term courses on specialized topics like Deep Learning Applications, Finite Element Analysis, IoT Systems Design, and Advanced Materials Characterization. These workshops are open to both students and professionals. </CONTEXT> 
 <QUESTION> Besides the topics mentioned, what other potential areas of study could the institute plausibly cover, based on the given information? </QUESTION>","Based on the information, the institute could plausibly cover other advanced technology and engineering topics, likely focusing on practical applications and specialized skills relevant to current industry demands, such as robotics or data science."
What specific area of academic work is mentioned where strict guidelines must be followed concerning academic integrity?,"The specific areas mentioned are assignments, projects, and thesis submissions."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The marking scheme at IIT Patna is based on a credit system that evaluates students’ performance through continuous assessment methods such as quizzes, mid-semester exams, end-semester exams, laboratory work, attendance, project reports, seminars, and viva voce. </CONTEXT> 
 <QUESTION> What other assessment besides attendance contributes to a student's final evaluation at IIT Patna? </QUESTION>","Seminars and viva voce contribute to a student's final evaluation at IIT Patna, besides attendance."
What specific area related to environmental sustainability is also addressed by the Center?,The Center also addresses waste management solutions.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's Electrical Engineering department offers specialized electives such as Smart Grid Technology, Renewable Energy Systems Design, Power Electronics Applications, and Embedded Systems Programming to keep students updated with industry trends. </CONTEXT> 
 <QUESTION> In what way are these electives beneficial to the students' career prospects within the electrical engineering field? </QUESTION>","These electives equip students with knowledge and skills highly sought after by employers in rapidly growing areas like smart grids, renewable energy, and embedded systems, thereby enhancing their career prospects."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Advanced courses in the Civil Engineering curriculum at IIT Patna include Foundation Engineering, Numerical Methods in Civil Engineering, Design of Reinforced Concrete Structures, Water Supply and Wastewater Engineering, Water Resources Engineering, Transportation Engineering, Construction Planning and Management, and Design of Steel Structures[4]. </CONTEXT> 
 <QUESTION> Name the advanced civil engineering course offered at IIT Patna that addresses the principles and practices of providing potable water and managing wastewater disposal? </QUESTION>","The advanced civil engineering course offered at IIT Patna that addresses potable water supply and wastewater management is ""Water Supply and Wastewater Engineering."""
What is the general characterization of the library's book collection at IIT Patna?,The library has an extensive collection of books available for student use.
"Give an example of a specific location or area on campus that would benefit from the activities during ""Green Campus Week"".","The campus grounds, including areas needing more trees or those needing to be cleaned, would benefit from the activities during ""Green Campus Week."""
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has a strong focus on cultural preservation through its Fine Arts Club. The club conducts regular workshops on traditional art forms like Madhubani painting (native to Bihar), pottery making, and classical dance styles like Kathak. </CONTEXT> 
 <QUESTION> What is the purpose of the workshops conducted by the Fine Arts Club, besides teaching the art forms? </QUESTION>",The purpose of the workshops is to preserve cultural traditions by teaching them.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Foundations of Theoretical Computer Science (CS511) course in the M.Tech CSE program at IIT Patna covers discrete structures, logic, automata and languages, and computability theory, including topics like Church-Turing thesis and Hilbert's problem, providing students with a strong theoretical foundation. </CONTEXT> 
 <QUESTION> What type of structures are covered as part of the discrete structures component within the curriculum of CS511? </QUESTION>",The context does not specify which specific discrete structures are covered. It only mentions that discrete structures is a component within the course.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement. </CONTEXT> 
 <QUESTION> During which period does the Spring semester take place at IIT Patna? </QUESTION>",The Spring semester at IIT Patna takes place from January to May.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna encourages lifelong learning by offering certificate programs through its Continuing Education Program (CEP). These programs cover topics like Cybersecurity Fundamentals, Renewable Energy Systems Design, Advanced Manufacturing Technologies, and more for working professionals looking to upskill themselves while balancing their careers. </CONTEXT> 
 <QUESTION> What is a third topic covered by the CEP? </QUESTION>",Advanced Manufacturing Technologies is a third topic covered by the CEP.
In what context does the institute offer these seminars and workshops?,The institute hosts them regularly.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna hosts several annual fests that cater to diverse interests. ""Anwesha"" is a three-day cultural and techno-management fest held every spring, featuring workshops, cultural performances, competitions, and pronites. ""Celesta"" is the techno-management fest that attracts participants from across India with events like robotics competitions and technical workshops. ""Infinito"" is the sports fest that promotes athleticism and teamwork among students, while ""Apeireon"" is the coding fest organized by the Computer Science department with global participation in programming challenges. </CONTEXT> 
 <QUESTION> What type of event is ""Anwesha"", and what are its primary features? </QUESTION>","""Anwesha"" is a three-day cultural and techno-management fest. It features workshops, cultural performances, competitions, and pronites, taking place every spring."
"Does the department's research align with broader initiatives? If so, what are they and how?","Yes, the research aligns with global sustainability goals."
What kind of global exposure does IIT Patna aim to provide through this program?,IIT Patna aims to provide global exposure to its students through research opportunities and collaborations with partner universities abroad.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The operating systems component of the Foundations of Computer Systems (CS-541) course at IIT Patna covers processes, threads, Unix fork-exec model, Unix signals, synchronization, interprocess communication, scheduling, and memory management, providing students with a comprehensive understanding of OS fundamentals. </CONTEXT> 
 <QUESTION> What type of system calls are likely used to manage the interaction of processes? </QUESTION>",System calls related to the Unix fork-exec model and Unix signals are likely used.
"How is ""exceptional performance"" defined in the context of projects or activities for bonus marks at IIT Patna? Is there a concrete definition?","The context only states ""exceptional performance"" without a concrete definition. Details like grading criteria or evaluation rubrics would be needed to understand the precise meaning in this context, but that is not available in the provided text."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The second semester electives for M.Tech in Electrical and Electronics Engineering (Power and Control Systems) at IIT Patna include specialized courses like Microprocessors and Embedded Systems (EE 504), Random Signal and Process (EE 555), Optimal Control Systems (EE 580), Control Techniques in Power Electronics (EE 582), Multivariable Control Theory (EE 584), and HVDC Transmission and FACTS (EE 586). </CONTEXT> 
 <QUESTION> Which elective deals with control systems having multiple input and output variables? </QUESTION>",Multivariable Control Theory (EE 584) deals with control systems having multiple input and output variables.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna’s academic curriculum includes provisions for credit transfer from Massive Open Online Courses (MOOCs) offered by platforms like NPTEL or Coursera. Students can take these courses to fulfill elective requirements while exploring topics of personal interest. </CONTEXT> 
 <QUESTION> What is the ultimate aim of providing credit transfer from MOOCs to students? </QUESTION>",The ultimate aim appears to be providing students with flexibility and allowing them to personalize their education by pursuing elective courses based on their interests.
"Which types of colleges participate in ""Infinito""?","Students from different colleges participate in ""Infinito""."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The Group C electives for the second semester of M.Tech in Mechanical Engineering at IIT Patna include Numerical Optimization (MA502), Computational Differential Equations (MA504), Mathematical Modeling (MA512), Fuzzy Set and Artificial Intelligence (MA508), Design of Experiments (MA514), Turbulent Shear Flow (ME541), and Non-linear Systems Dynamics (ME536). </CONTEXT> 
 <QUESTION> Which course covers topics related to Fuzzy Sets and Artificial Intelligence within the Group C electives? </QUESTION>",The course Fuzzy Set and Artificial Intelligence (MA508) covers topics related to Fuzzy Sets and Artificial Intelligence.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna also offers integrated B.Tech-M.Tech dual degree programs in fields like Computer Science and Engineering, Mathematics and Computing, Electronics and Communication Engineering (with specializations in VLSI or Communication Systems), Mechanical Engineering (with Mechatronics), among others. These programs span five years. </CONTEXT> 
 <QUESTION> What is the name of another engineering discipline that offers the combined degree program at IIT Patna? </QUESTION>",Electronics and Communication Engineering offers the integrated B.Tech-M.Tech dual degree program.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Beyond academics, IIT Patna offers 24/7 lab access, a sports complex with Olympic-grade facilities, and hostels equipped with gyms and TV rooms. The curriculum includes interdisciplinary electives like Nano-structured Materials and MEMS and NEMS, alongside dual-degree programs (e.g., B.Tech + MBA with IIM Bodh Gaya). Clubs like Exousia (dance) and Robotics Guild foster creativity, while strict anti-ragging policies ensure a supportive environment. </CONTEXT> 
 <QUESTION> Give two examples of interdisciplinary electives offered in the IIT Patna curriculum. </QUESTION>",Two examples of interdisciplinary electives are Nano-structured Materials and MEMS and NEMS.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna has a robust mentorship program where senior students and faculty members guide juniors in academics and career planning. This mentorship helps new students adapt to the rigorous academic environment and make informed decisions about their studies. </CONTEXT> 
 <QUESTION> What is the role of senior students in the mentorship program? </QUESTION>","Senior students in the mentorship program guide juniors in navigating the academic environment, sharing their experiences, and providing advice on academics and career planning."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Executive programs like Executive MBA in Finance or Artificial Intelligence & Data Science are offered for working professionals seeking advanced education in hybrid modes (online/in-campus). </CONTEXT> 
 <QUESTION> What is the format of course delivery for these Executive MBA programs as described in the context? </QUESTION>","The context describes the course delivery as hybrid, meaning it involves both online and in-campus learning modes."
"What specific field of study are the ""machine learning boot camps"" focused on?","The context directly states ""machine learning boot camps"", implicitly focusing on the field of Machine Learning."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The grading system at IIT Patna uses letter grades ranging from ‘A’ (Excellent) to ‘F’ (Fail), with corresponding grade points on a 10-point scale. A minimum CPI of 5.0 is required for graduation, ensuring that students maintain consistent academic performance throughout their tenure. </CONTEXT> 
 <QUESTION> What is the minimum CPI a student needs to achieve to be eligible for graduation at IIT Patna? </QUESTION>",A minimum CPI of 5.0 is required for graduation.
"Besides Turbulent Shear Flow, which other course is specifically offered under the Mechanical Engineering (ME) department?","Besides Turbulent Shear Flow (ME541), Non-linear Systems Dynamics (ME536) is also offered under the Mechanical Engineering (ME) department."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Environmental Engineering research at IIT Patna includes projects such as Development of Ganga Grams under Namami Gange Programme with Support of Technical Institutions, evaluating the fate and transport of engineered nanoparticle retention in porous media, Arsenic immobilization by in-situ synthesis of iron-based absorbent, and profiling of bio-macromolecules for energy assessment. </CONTEXT> 
 <QUESTION> Is the research on Ganga Grams an independent project or a part of a larger initiative, and what is that initiative? </QUESTION>","The research on Ganga Grams is part of the larger Namami Gange Programme, indicating a collaboration with government initiatives aimed at cleaning and revitalizing the Ganges River."
"Who is the target audience for ""TEDx IIT Patna""?","The target audience for ""TEDx IIT Patna"" is students, who are meant to be inspired and engaged."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The academic curriculum at IIT Patna includes mandatory courses on environmental science and ethics to instill a sense of social responsibility among students. These courses emphasize sustainable development and ethical practices in engineering. </CONTEXT> 
 <QUESTION> What overarching goal is the inclusion of environmental science and ethics courses designed to achieve within the student body? </QUESTION>",The courses are designed to instill a sense of social responsibility among students.
What specific resources does the context mention the medical center has available? (Excluding staff),"The context mentions that the medical center is well-equipped, though it does not detail what equipment is present."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The eligibility criteria for M.Tech in Mechanical Engineering at IIT Patna requires candidates to have a B.Tech/B.E. in Aerospace, Aeronautical, Automobile, Production, Manufacturing, or Mechanical Engineering, along with a valid GATE score in either Aerospace Engineering (AE), Mechanical Engineering (ME), or Production and Industrial Engineering (PI)[3]. </CONTEXT> 
 <QUESTION> What are the different GATE subject areas accepted for the M.Tech program? </QUESTION>","The accepted GATE subject areas are Aerospace Engineering (AE), Mechanical Engineering (ME), and Production and Industrial Engineering (PI)."
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna offers assistantships to eligible MTech students funded either by the institute or external organizations. Students receiving assistantships must perform academic duties such as assisting faculty members with research or teaching tasks. Unauthorized absences can result in disciplinary actions or termination of assistantships. </CONTEXT> 
 <QUESTION> If a student loses their assistantship due to disciplinary action or termination, what is a possible lasting effect? </QUESTION>","While not explicitly stated in the context, the loss of an assistantship could have financial implications for the student and potentially impact their academic standing if the assistantship was tied to a particular project or program. There are no other explicit lasting effects stated in the provided context."
What are the two primary activities undertaken by the alumni network to foster connections and support the institute's community?,The alumni network primarily organizes reunions and mentorship programs to foster connections and support the institute's community.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> Laboratory facilities in IIT Patna's Electrical Engineering department include the Electrical Machines Laboratory and Advanced Electrical Lab, equipped with cutting-edge technology like Wireless Power Transfer systems (next generation power transmission), Transmission line simulators, and Fuel cell training systems. </CONTEXT> 
 <QUESTION> What is the intended purpose or application of the Wireless Power Transfer systems mentioned? </QUESTION>",The Wireless Power Transfer systems are designed for next generation power transmission.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> The institute has established partnerships with industries like Tata Steel, DRDO (Defence Research & Development Organisation), ISRO (Indian Space Research Organisation), and Infosys for collaborative research projects and internships. </CONTEXT> 
 <QUESTION> What are the primary benefits of these partnerships to the institute's students? </QUESTION>",The primary benefits to the institute's students are collaborative research opportunities and internships.
"What is the primary thematic focus of IIT Patna's ""Apeireon"" fest?","The primary thematic focus of IIT Patna's ""Apeireon"" fest is competitive programming and coding challenges."
What is the overall implication of the consistent improvement in placement statistics at IIT Patna?,The consistent improvement implies a growing quality of education and the increasing desirability of IIT Patna graduates in the job market.
"With Respect to the given context (<CONTEXT> ... </CONTEXT>) answer the following question (<QUESTION>..</QUESTION>) 

 <CONTEXT> IIT Patna's Civil and Environmental Engineering department offers both a four-year bachelor's program and a two-year master's program in Civil Engineering, supported by state-of-the-art research laboratories that enable students to conduct research and experimentation. </CONTEXT> 
 <QUESTION> What types of facilities are available within the Civil and Environmental Engineering department at IIT Patna to support student learning? </QUESTION>",The department is supported by state-of-the-art research laboratories.
